"url","player_name","player_games_played","player_games_started","player_minutes_per_game","player_points_per_game","player_offensive_rebounds__per_game","player_defensive_rebounds_per_game","player_rebounds_per_game","player_assists_per_game","player_steals_per_game","player_blocks_per_game","player_turnovers_per_game","player_fouls_per_game","player_assist_to_turnover_ratio","team","season_type","season_year","player_id"
"https://www.espn.com/nba/player/_/id/3033/pj-tucker?year=2018-19&team=HOU","P.J. Tucker",72,72,34.3,6.9,1.6,5.1,6.6,1.6,1.1,0.5,1,3.2,1.6,"HOU","Not clear","2019-20",
"https://www.espn.com/nba/player/_/id/2177/david-west","David West",71,1,13.1,3.8,1.6,2.5,4.2,0.8,0.4,0.4,0.7,1.6,1.1,"NO","Not clear","2003-04",
"https://www.espn.com/nba/player/_/id/2991139/kris-dunn?year=2016-17&team=MIN","Kris Dunn",78,7,17.1,3.8,0.3,1.8,2.1,2.4,1,0.5,1.1,2.3,2.2,"MIN","Not clear","2016-17",
"https://www.espn.com/nba/player/_/id/4277952/bruno-fernando?year=2023-24&team=ATL","Bruno Fernando",56,13,12.7,4.3,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,1.1,"ATL","Not clear","2019-20",
"https://www.espn.com/nba/player/_/id/3015/paul-millsap?year=2017-18&team=DEN","Paul Millsap",81,81,32.7,17.1,2.4,6.6,9,3.3,1.8,1.7,2.4,2.9,1.4,"ATL","Not clear","2015-16",
"https://www.espn.com/nba/player/_/id/2282734/kalin-lucas?year=2018-19&team=DET","Kalin Lucas",1,0,6,0,0,0,0,0,1,0,0,1,0,"MEM","Not clear","2014-15",
"https://www.espn.com/nba/player/_/id/2282734/kalin-lucas","Kalin Lucas",1,0,6,0,0,0,0,0,1,0,0,1,0,"MEM","Not clear","2014-15",
"https://www.espn.com/nba/player/_/id/813/peja-stojakovic?year=2004-05&team=SAC","Peja Stojakovic",71,71,36.6,18.2,1.1,4.7,5.8,1.9,0.6,0.1,1.5,2.4,1.3,"Total","Postseason","2005-06",
"https://www.espn.com/nba/player/_/id/6603/jeremy-lamb?year=2017-18&team=CHA","Jeremy Lamb",23,0,6.4,3.1,0.2,0.6,0.8,0.2,0.1,0.1,0.3,0.6,0.7,"OKC","Not clear","2012-13",
"https://www.espn.com/nba/player/_/id/84/ryan-bowen?year=2009-10&team=OKC","Ryan Bowen",52,0,11.3,2.5,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,1.3,"DEN","Not clear","1999-00",
"https://www.espn.com/nba/player/_/id/2991039/glenn-robinson-iii?year=2014-15&team=MIN","Glenn Robinson III",25,0,4.3,1.2,0.2,0.4,0.6,0.1,0.1,0,0.1,0.2,1,"MIN","Regular season","2014-15",
"https://www.espn.com/nba/player/_/id/6503/dwight-buycks","Dwight Buycks",14,0,10.4,3.1,0.3,1.4,1.6,0.7,0.6,0,0.7,0.8,1,"TOR","Not clear","2013-14",
"https://www.espn.com/nba/player/_/id/2579258/cody-zeller?year=2013-14&team=CHA","Cody Zeller",82,3,17.3,6,1.4,2.9,4.3,1.1,0.5,0.5,1.1,2.1,1,"CHA","Not clear","2013-14",
"https://www.espn.com/nba/player/_/id/3083/chris-mccray?year=2006-07&team=MIL","Chris McCray",5,0,2.4,0,0,0,0,0,0,0,0.4,0.2,0,"MIL","Not clear","2006-07",
"https://www.espn.com/nba/player/_/id/4409222/trevelin-queen?year=2021-22&team=HOU","Trevelin Queen",10,0,7.4,4.3,0.7,0.9,1.6,0.4,0.5,0.1,0.7,0.6,0.6,"HOU","Not clear","2021-22",
"https://www.espn.com/nba/player/_/id/4683935/blake-wesley?year=2022-23&team=SA","Blake Wesley",37,1,18.1,5,0.3,1.9,2.2,2.7,0.7,0.1,1.8,1.8,1.5,"SA","Not clear","2022-23",
"https://www.espn.com/nba/player/_/id/6446/cory-joseph?year=2023-24&team=GS","Cory Joseph",29,1,9.2,2,0.2,0.7,0.9,1.2,0.2,0.1,0.4,0.6,3,"SA","Not clear","2011-12",
"https://www.espn.com/nba/player/_/id/336/grant-hill?year=2008-09&team=PHX","Grant Hill",67,67,34.9,19.7,1.1,3.6,4.7,3.3,1.4,0.4,2.4,2.1,1.4,"ORL","Not clear","2004-05",
"https://www.espn.com/nba/player/_/id/3593/bojan-bogdanovic?year=2014-15&team=BKN","Bojan Bogdanovic",78,28,23.8,9,0.6,2.1,2.7,0.9,0.4,0.1,1,1.3,0.9,"BKN","Not clear","2014-15",
"https://www.espn.com/nba/player/_/id/3064511/andrew-harrison?year=2018-19&team=MEM","Andrew Harrison",72,18,20.5,5.9,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,2.3,"MEM","Not clear","2016-17",
"https://www.espn.com/nba/player/_/id/3934723/thomas-bryant?year=2020-21&team=WSH","Thomas Bryant",15,0,4.8,1.5,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,4,"LAL","Not clear","2017-18",
"https://www.espn.com/nba/player/_/id/4270/trevor-booker?year=2010-11&team=WSH","Trevor Booker",65,14,16.4,5.3,1.5,2.4,3.9,0.5,0.4,0.6,0.6,1.8,0.8,"WSH","Not clear","2010-11",
"https://www.espn.com/nba/player/_/id/3151568/trayvon-palmer?year=2021-22&team=DET","Trayvon Palmer",1,0,17,0,0,2,2,0,0,0,1,2,0,"DET","Not clear","2021-22",
"https://www.espn.com/nba/player/_/id/4278031/oshae-brissett?year=2023-24&team=BOS","Oshae Brissett",19,0,7.1,1.9,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1,"TOR","Not clear","2019-20",
"https://www.espn.com/nba/player/_/id/2983/lamarcus-aldridge?year=2012-13&team=POR","LaMarcus Aldridge",74,74,30.6,18,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2,1.2,"SA","Not clear","2015-16",
"https://www.espn.com/nba/player/stats/_/id/3056247/kendrick-nunn","Kendrick Nunn",67,67,29.3,15.3,0.3,2.4,2.7,3.3,0.8,0.2,1.7,2.3,1.9,"MIA","Not clear","2019-20",
"https://www.espn.com/nba/player/_/id/681/laron-profit?year=2004-05&team=WSH","Laron Profit",33,1,6.8,1.5,0.1,0.7,0.8,0.8,0.2,0.1,0.6,0.8,1.3,"WSH","Not clear","1999-00",
